"date","key","value"
2014-06-30,"Nth America",507706232
2014-06-30,"Other",808013028
2014-07-31,"Asia",1488852993
2014-07-31,"Australia",685407572
2014-07-31,"Europe",367045474
2014-07-31,"Nth America",405290901
2014-07-31,"Other",737723009
2014-08-31,"Asia",1476017810
2014-08-31,"Australia",740017965
2014-08-31,"Europe",359530003
2014-08-31,"Nth America",379980272
2014-08-31,"Other",577763250
2014-09-30,"Asia",1446278338
2014-09-30,"Australia",802748350
2014-09-30,"Europe",405644492
2014-09-30,"Nth America",356997833
2014-09-30,"Other",604454546
2014-10-31,"Asia",1594490388
2014-10-31,"Australia",819980450
2014-10-31,"Europe",384635514
2014-10-31,"Nth America",442081457
2014-10-31,"Other",769763393
2014-11-30,"Asia",1603353716
2014-11-30,"Australia",760601194
2014-11-30,"Europe",306131378
2014-11-30,"Nth America",528744237
2014-11-30,"Other",841812026
2014-12-31,"Asia",1927169928
2014-12-31,"Australia",739951003
2014-12-31,"Europe",403146717
2014-12-31,"Nth America",498813479
2014-12-31,"Other",832755474
2015-01-31,"Asia",1466707543
2015-01-31,"Australia",526200906
2015-01-31,"Europe",403780071
2015-01-31,"Nth America",537929792
2015-01-31,"Other",746230909
2015-02-28,"Asia",1643945283
2015-02-28,"Australia",657839315
2015-02-28,"Europe",402884197
2015-02-28,"Nth America",533579662
2015-02-28,"Other",648800102
2015-03-31,"Asia",1949843459
2015-03-31,"Australia",752880248
2015-03-31,"Europe",518804742
2015-03-31,"Nth America",677559600
2015-03-31,"Other",1005710411
2015-04-30,"Asia",1718708644
2015-04-30,"Australia",642767944
2015-04-30,"Europe",443327476
2015-04-30,"Nth America",521640638
2015-04-30,"Other",807633203
2015-05-31,"Asia",1690181213
2015-05-31,"Australia",666783661
2015-05-31,"Europe",520578425
2015-05-31,"Nth America",645702664
2015-05-31,"Other",830900266
2015-06-30,"Asia",1598974769
2015-06-30,"Australia",730065749
2015-06-30,"Europe",448738316
2015-06-30,"Nth America",556872075
2015-06-30,"Other",813408736
2015-07-31,"Asia",1703704485
2015-07-31,"Australia",699010051
2015-07-31,"Europe",415012381
2015-07-31,"Nth America",542835671
2015-07-31,"Other",808047185
2015-08-31,"Asia",1528895921
2015-08-31,"Australia",707897055
2015-08-31,"Europe",428913852
2015-08-31,"Nth America",428378822
2015-08-31,"Other",616226140
2015-09-30,"Asia",1392958399
2015-09-30,"Australia",731892371
2015-09-30,"Europe",423634191
2015-09-30,"Nth America",491024816
2015-09-30,"Other",637145486
2015-10-31,"Asia",1512078035
2015-10-31,"Australia",753108567
2015-10-31,"Europe",411209835
2015-10-31,"Nth America",457790634
2015-10-31,"Other",677724119
2015-11-30,"Asia",1693748603
2015-11-30,"Australia",725620453
2015-11-30,"Europe",379076376
2015-11-30,"Nth America",527817122
2015-11-30,"Other",748152685
2015-12-31,"Asia",1927918398
2015-12-31,"Australia",752246710
2015-12-31,"Europe",442027071
2015-12-31,"Nth America",514503329
2015-12-31,"Other",785971994
